ComplaintID,DateKey,Date,AirlineCode,AirportCode,Category,ComplaintStatus,DaysToResolve,ResolutionQualityScore,FollowUpRequired,ChannelSubmitted,ComplaintDescription
CP000001,20240925,2024-09-25,AK,KCH,Check-in Service,Pending,,,Yes,Counter,"Long queue at check-in counter, insufficient staff"
CP000002,20240126,2024-01-26,OD,PEN,Baggage Handling,Resolved,13,2,No,Website,Baggage delayed / damaged / lost upon arrival
CP000003,20230921,2023-09-21,FY,KUL,Flight Delay,Resolved,2,3,No,Social Media,Flight delayed without adequate notification to passengers
CP000004,20230628,2023-06-28,MH,TGG,Ground Staff Attitude,Resolved,16,2,No,Website,Unprofessional behaviour from ground handling staff
CP000005,20230514,2023-05-14,MH,PEN,Ground Staff Attitude,Resolved,15,5,Yes,Email,Unprofessional behaviour from ground handling staff
CP000006,20230310,2023-03-10,AK,KCH,Flight Delay,In Progress,33,,No,Social Media,Flight delayed without adequate notification to passengers
CP000007,20230728,2023-07-28,AK,MYY,Ground Staff Attitude,Resolved,15,4,No,Social Media,Unprofessional behaviour from ground handling staff
CP000008,20240905,2024-09-05,OD,KBR,In-flight Service,Escalated,,,No,Website,Poor in-flight service quality reported by passengers
CP000009,20240614,2024-06-14,AK,BKI,Flight Delay,Resolved,14,2,No,Social Media,Flight delayed without adequate notification to passengers
CP000010,20231211,2023-12-11,MF,TGG,Baggage Handling,Escalated,,,No,Phone,Baggage delayed / damaged / lost upon arrival
CP000011,20230512,2023-05-12,MH,KUA,Other,In Progress,33,,No,Phone,Miscellaneous passenger complaint
CP000012,20241024,2024-10-24,MH,LGK,Flight Delay,Resolved,18,5,No,Social Media,Flight delayed without adequate notification to passengers
CP000013,20230515,2023-05-15,MF,KBR,Other,Resolved,2,5,No,Email,Miscellaneous passenger complaint
CP000014,20240106,2024-01-06,MH,TGG,Baggage Handling,Resolved,20,5,No,Email,Baggage delayed / damaged / lost upon arrival
CP000015,20240129,2024-01-29,AK,KBR,Safety Concern,Resolved,3,3,No,Email,Passenger reported safety-related concern onboard
CP000016,20240528,2024-05-28,AK,KBR,Ground Staff Attitude,Resolved,15,5,No,Email,Unprofessional behaviour from ground handling staff
CP000017,20240111,2024-01-11,MH,SBW,Check-in Service,Resolved,15,5,No,Website,"Long queue at check-in counter, insufficient staff"
CP000018,20230116,2023-01-16,MF,BKI,Flight Delay,Resolved,21,3,No,Phone,Flight delayed without adequate notification to passengers
CP000019,20230118,2023-01-18,MH,JHB,In-flight Service,Resolved,18,4,Yes,Website,Poor in-flight service quality reported by passengers
CP000020,20240723,2024-07-23,AK,KBR,Check-in Service,Escalated,,,Yes,Phone,"Long queue at check-in counter, insufficient staff"
CP000021,20240628,2024-06-28,MH,TGG,Flight Delay,Pending,,,Yes,Website,Flight delayed without adequate notification to passengers
CP000022,20230317,2023-03-17,D7,TGG,Ground Staff Attitude,Pending,,,No,Website,Unprofessional behaviour from ground handling staff
CP000023,20240415,2024-04-15,OD,TGG,Baggage Handling,In Progress,25,,Yes,Website,Baggage delayed / damaged / lost upon arrival
CP000024,20231011,2023-10-11,MH,MYY,Flight Delay,Resolved,1,5,No,Website,Flight delayed without adequate notification to passengers
CP000025,20240410,2024-04-10,AK,IPH,Ground Staff Attitude,In Progress,12,,No,Email,Unprofessional behaviour from ground handling staff
CP000026,20231230,2023-12-30,MF,SBW,Flight Delay,Escalated,,,Yes,Email,Flight delayed without adequate notification to passengers
CP000027,20230722,2023-07-22,FY,LGK,Flight Delay,Resolved,6,5,Yes,Phone,Flight delayed without adequate notification to passengers
CP000028,20240813,2024-08-13,OD,JHB,Flight Delay,Resolved,2,2,No,Website,Flight delayed without adequate notification to passengers
CP000029,20240818,2024-08-18,AK,SBW,Check-in Service,Resolved,1,2,Yes,Social Media,"Long queue at check-in counter, insufficient staff"
CP000030,20241129,2024-11-29,D7,KBR,Refund/Compensation,Escalated,,,No,Email,Delay in processing refund or compensation claim
CP000031,20240511,2024-05-11,MH,KCH,Flight Delay,In Progress,22,,Yes,Website,Flight delayed without adequate notification to passengers
